type,"	id","question	","opt1	",opt2,opt3,opt4,active_count,"answer_index	","explanation	",score
TF,1,الوحدانية : تعني أن الله تعالى رب كل شيء ومالكه.,صح,خطا,,,2,2,,1
TF,2,قد يتمكن العلماء من التعرف على الملائكة بوسائل العلم الحديثة,صح,خطا,,,2,2,,1
TF,3,الإعجاز العلمي في السنة يدعو المسلم للتعمق في العلوم الدنيوية.,صح,خطا,,,2,1,,1
TF,4, من الخصائص العامة للدين أن الذين يبلغونه ملزمون بتطبيقه.,صح,خطا,,,2,1,,1
TF,5,الأمن من الفزع الأكبر ميزة اختص الله تعالى بها الشهداء.,صح,خطا,,,2,1,,1
TF,6,الانتحار جريمة لا تتلاءم مع فطرة الإنسان وحرصه على الحياة.,صح,خطا,,,2,1,,1
TF,7,حدد النبي صلى الله عليه وآله وسلم في الحديث الشريف ثمانية أصناف يظلهم الله تعالى يوم القيامة.,صح,خطا,,,2,2,,1
TF,8,مدلول الشريعة الإسلامية ينحصر في أصول الحكم ونظامه.,صح,خطا,,,2,2,,1
TF,9,المحسوبية تعمل على تكافؤ الفرص بين الناس,صح,خطا,,,2,2,,1
TF,10,تثبت جريمة فعل القتل بأنواعه الثلاثة بالإقرار أو شاهدين.,صح,خطا,,,2,1,,1
TF,11,الحدود الشرعية تكتسب صفة الحق الخاص,صح,خطا,,,2,2,,1
TF,12,الورثة ملزمون بتسديد جميع ديون مورثهم ولو استغرقت التركة كاملة.,صح,خطا,,,2,1,,1
TF,13,يُعد تتبع الجزئيات في الأحكام الشرعية من طرق معرفة مقاصد الشريعة.,صح,خطا,,,2,1,,1
TF,14,من الأمور التي تجب فيها الوصية : الواجبات الدينية كالحج.,صح,خطا,,,2,1,,1
TF,15,المسلم يلبي النداء دفاعاً عن العقيدة والوطن في العسر واليسر,صح,خطا,,,2,1,,1
TF,16,كانت ثياب النبي صلى الله عليه وآله وسلم من الحرير,صح,خطا,,,2,2,,1
TF,17,التوكل يشمل العبادة والاستعانة والاعتقاد بالأسباب.,صح,خطا,,,2,2,,1
TF,18,قدم وفد تميم إلى الرسول صلى الله عليه وآله وسلم للمباهلة والمجادلة.,صح,خطا,,,2,2,,1
TF,19,كتم الرسول صلى الله عليه وآله وسلم وجهته إلى مكة بغرض مفاجأة العدو.,صح,خطا,,,2,1,,1
MCQ,20,تحريم الربا: من المبادئ التي أعلنها رسول صلى الله عليه وآله وسلم في خطبة حجة الوداع.,صح,خطا,,,2,1,,2
MCQ,21,كلفه الله تعالى بإبلاغ شريعة جديدة للناس ...,النبي,الولي,العلم,الرسول,4,4,,2
MCQ,22,قال تعالى (وَمَا أَنَا بِطَارِدِ الَّذِينَ آَمَنُوا ....) دلت الآية على جهل قوم نوح عليه السلام بــ,معيار التفاضل,حقيقة خلقهم,رسالة نبيهم,من أسلم,4,1,,2
MCQ,23,تكفل الله سبحانه وتعالى بحفظ وجمع وبيان ...,المعجزة,الرسالة ,العقل,القرآن الكريم ,4,4,,2
MCQ,24,من آثار الإيمان في حياة الفرد ...,التعاون,الإيثار ,السكينة,المساواة,4,3,,2
MCQ,25,كلما قل الإيمان زادت ...,المادة,الابتلاءات,الجريمة,الانتصارات,4,3,,2
MCQ,26,منهج علمي دقيق هدفه التثبت من النصوص المروية للحديث ...,الجرح,التعديل,السند,الضبط,4,3,,2
MCQ,27,ما كان له هدف مقرون بنية صالحة يُعد مزاحاً,مذموماً,محرمات,محمودا,ممنوعات,4,3,,2
MCQ,28,المرأة التي حكم عليها الرسول صلى الله عليه وآله وسلم بحد السرقة ...,نسيبة بنت كعب,فاطمة بنت الأسود ,أسماء بنت عميس,أسماء بنت أبي بكر ,4,2,,2
